INSERT INTO Pet_Owner (po_userid, credit) VALUES
('ufrankcombe5h','5320654639314292'),
('oslatorld','3660695493294684'),
('acalbert8y','9137034484628625'),
('velleringtonpf','7290301901992262'),
('ttacey5z','9498338851987267'),
('bsolland7','8026915210319103'),
('wpioch7u','1869520667967437'),
('ryakunin44','2155723510013555'),
('erobiouga','6242954603980389'),
('wscholfielddk','6840002535422290'),
('bmcgibbonb5','5093640577775565'),
('mpraill2t','1245590133016294'),
('dfulop96','4236990096003653'),
('hhousemanl8','2874637918503182'),
('drevieqg','5700872808086785'),
('jibellfe','8618033748153168'),
('bdewfall4n','3799782384614509'),
('bblumgg','8603573854675221'),
('aairdf5','8968757035168047'),
('gmagog5s','6831553395721126'),
('hbrislawnne','3674589381131753'),
('vsommervilleml','5985580853904276'),
('mguichardq9','5269523865718608'),
('aarmiger9m','3901620906308118'),
('ybetteneylc','4584241980458806'),
('obruyntjesq7','6884109739165028'),
('jgirardin6f','5776549541832139'),
('pszymaniak3u','8443551258713854'),
('biacopetti9q','2475833801274626'),
('dsalterna4','1129322361701860'),
('bdinnis6t','4645480183631519'),
('droscamps36','9424137059411889'),
('apietersrh','1998498294079525'),
('bbassfordo0','3270952240950720'),
('cellissendg','2408478925787493'),
('tschafer34','6698349021522021'),
('mcroysdaleb2','7705236143834068'),
('fcrombiedw','5269986153226294'),
('malbront','1437315589377929'),
('mmapledoramkg','9180950154787526'),
('itabourinp0','3268145233703383'),
('rcollingwoodc4','1439742224644723'),
('akort7h','7193591616181317'),
('carmaneo','5241627522775443'),
('pchaldecottoj','1581089689883226'),
('pdawby18','8505872352795752'),
('cbrabhamox','4582131790085436'),
('estreadergl','9689419887101774'),
('bgierokln','9121096475991950'),
('cmcinerney5x','9918394634063165'),
('ccheakqz','8452594934157443'),
('dsauniernm','2996294117297723'),
('ebearhamnr','3559482958083915'),
('eattyin','1635335280729794'),
('rforsdikejb','1353631250936754'),
('nblodgettlz','7965866893866664'),
('rcocktonkz','4886281747272006'),
('bstockneym3','1834902468211869'),
('dmaciloryav','8695899294631211'),
('egorsjy','9823691774180473'),
('hclemmenqu','4557897677849594'),
('wsaullfk','7627601676299110'),
('eletchfordfw','6374486953022514'),
('estratzq','9754656690821778'),
('jboyneses','9668977274869942'),
('sdermott2c','8774723160087087'),
('gbingley85','5532427072581454'),
('flocknera1','2883993386627595'),
('jdhennin3v','5759010832595785'),
('bdecayette78','4897162079904804'),
('fshilliday2z','7245688883882989'),
('mmacmeeking2u','6608872296557272'),
('hsonghurstpc','6591811103727708'),
('lprobateh2','2586369217741573'),
('carchdeacon76','6116728725962519'),
('mkleise7','6532505820411569'),
('kshout8l','7521652813174962'),
('mdrohane43','7996196210681609'),
('sjaouencq','1454361996945065'),
('mgabbottsco','8338478142436473'),
('rchadney6s','4657247733558626'),
('lvondrachgi','2534816952021207'),
('jmachostie4y','2283746389570756'),
('staggertynu','8281441636816919'),
('glevene3n','6760083087672098'),
('dletessieriq','4078330121133218'),
('scaplinnv','4804414947712983'),
('efrancescuzzigs','2515271097939370'),
('fhodginsr','2536056156934746'),
('ycaddensd1','3980114089654565'),
('alongridgeie','4897568348354940'),
('hreysoneg','4677657481009175'),
('agitthouse7j','4385361034089138'),
('aferandez47','3683466975660166'),
('astaversho','6321199293678257'),
('ezannelip','7564660154185843'),
('sbrimmanct','8464419015614688'),
('lnicklenpd','2596194618539259'),
('mnarraway1i','7232629624244245'),
('nchannonc7','1277837149594462'),
('mgebbiefr','8353002702315741'),
('piacobini7o','4999699760935686'),
('rharris55','1735892765253611'),
('ecarng','2505889438503219'),
('dchaddockb1','3987695176008673'),
('ltosneyms','4968789588504628'),
('pklaiserjx','5175388176189965'),
('paugur9q','3196820292257756'),
('bkeatley1c','1778757463922606'),
('pghiroldipi','6952934884045471'),
('ewhittaker15','8379182065303139'),
('mkennermannnn','1159310378797888'),
('rcurgenvenge','7841270141276052'),
('ofilder6','3957658696444197'),
('obusenhj','2111503209776915'),
('khassellat','3212049726712731'),
('bpryddengy','8599968454391359'),
('jcampes39','8548001035749521'),
('ableythine2','3254168964851024'),
('sdresselqq','1832610759990379'),
('jhryniewiczn7','5216268914149502'),
('jhaggertyme','9633033314500699'),
('vshires5i','4233070791939082'),
('ldairton5v','9784619111060435'),
('dpassfieldg4','9921734687526032'),
('gkinnieja','1254293655134952'),
('ssavinsq4','3695259095774929'),
('tklimovmi','5151225030698313'),
('hbedboroju','1843414789503530'),
('lgass3o','5483167219410393'),
('aboikgw','2553980695566401'),
('nbasketfield2s','9544340547732517'),
('acrombkx','3651935454584165'),
('rchatburnj9','7335560366264192'),
('rdumbarcp','7954214812712702'),
('blassell5j','3747901471007323'),
('dshoppeemp','5268414073462029'),
('acurranfj','4273358027540087'),
('mtinmanjr','1777647579584815'),
('czimeka1','3790683962569763'),
('aflattmana0','2959477074442513'),
('ecuminegh','2682507106340428'),
('lscreaton3i','4324880670272648'),
('fspittleqy','2669776054561546'),
('gbrokenshaw46','3093399860703399'),
('iwormaldnx','8604346626027858'),
('sclubleyrd','5795232845424818'),
('tbicee','2150860709431141'),
('kwetherspy','3170492054573594'),
('astuttard1m','3832609245739682'),
('mriddler3n','2712804613176057'),
('fdurradna','3554843543175174'),
('jterrisey','2546646051163261'),
('ebrailey61','8533854206346704'),
('gcockshottf0','1002729662355024'),
('frodwaypx','1683267931486320'),
('jsurcomboi','2167753005592282'),
('areinmarkp','2259505656037526'),
('cvasilenko57','3661314261492867'),
('jsmealki','6260872120468842'),
('mpowles6o','6874942469141108'),
('ecasseyg0','5702792784828570'),
('fgammage8c','7037985816624566'),
('mtopling8x','3004790808069704'),
('cbrunottiap','5155182556851082'),
('jalelsandrowiczm2','6024469815162714'),
('brubegaes','4737254820272079'),
('jdonaher28','3356007230386260'),
('cbolinoef','9481348121843642'),
('podyp1','5308847297140754'),
('rerswell1s','8900624329689188'),
('abrabinb4','3341907200143280'),
('jpimlottmr','2068829203737189'),
('fweaversi3','8900700351712451'),
('cgowthropft','7843846479560001'),
('asykorah2','7780008230405850'),
('gpauly2w','4809124064647453'),
('agleaderr6','8807935684820430'),
('cdivea0','3686452272732989'),
('afoynesj8','7447034211850446'),
('tdaudraya3','1463034039165152'),
('mpiggot2k','2083194184156311'),
('jjanosevicma','3084115242266320'),
('akells73','5409201960680660'),
('rdurangc','6906916496050445'),
('betteridgejs','6121511635999292'),
('snonocg','1790064336204759'),
('mmccawg1','8864608651409847'),
('cgiggsbx','2077895000322701'),
('fislepie','6927843876129622'),
('lcarpentercd','5232865275817913'),
('shutchenceqt','3870311329606879'),
('blanfranchi8k','5932977772687992'),
('ebridgement4h','8319136254970080'),
('lfain7b','3370333530829779'),
('jcadamydb','9379496652507783'),
('lbracknell56','8821909008214589'),
('lasaafey','6348596364171657'),
('vchisholmeir','3493579145602932'),
('aculrossjk','4793517276890642'),
('bratledgeks','8569536989502006'),
('pspightni','9976983155352096'),
('twarrengk','5911997374110568'),
('amorebygj','9780748205995583'),
('coslardy','4108650229546158'),
('satcheson42','9918074943354485'),
('nessex9j','7095370884875561'),
('fmilburneih','3782023896147220'),
('ebeardondc','7753249686894423'),
('psiretqb','1378096084229149'),
('tyegorovningn','4090359928406325'),
('lfilippoou','7873652448424401'),
('spinsonl7','5889426696398477'),
('rmcnairi9','6598639324364690'),
('fbonson6i','2679657483911360'),
('tbabber42','7037394194075343'),
('jkimbreych','7912387248382734'),
('edrysdalepp','5661483274585083'),
('rgilcriestca','7175884227301808'),
('mransburybw','7473145063996526'),
('gjochensrm','4778272260021513'),
('ddenisyukw','5423953965605821');
